Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency
2,TCP,,,290.53700000000003,290.53700000000003,290.53700000000003,581.0740000000001,290.53700000000003,290.53700000000003,32,236,0,268,8590,2,2,3333,56490.0,,3333,56490.0,,15.5,16.0,16.5,2423.5,4295.0,6166.5,mine,Litecoin
124,TCP,UDP,,0.0,0.0,0.2395,566.0439999999999,60.003,0.0,5179,160627,22,885,4586934,30,26,443,80.0,38614.0,443,80.0,1900.0,1.0,1.0,2.0,32.0,32.0,67.25,not_mine,Does not have
72,TCP,UDP,,0.0,21.925,46.59050000000001,1865.174,108.1,0.0,5106,274622,38,898,4589767,32,29,80,443.0,53.0,80,443.0,1900.0,1.0,2.0,7.0,37.0,44.0,547.5,not_mine,Does not have
2,TCP,,,364.281,430.857,497.43300000000005,861.7139999999998,564.009,297.705,68,317,0,329,22402,2,2,3333,56490.0,,3333,56490.0,,29.0,34.0,39.0,6358.5,11201.0,16043.5,mine,Litecoin
215,TCP,UDP,,0.818,0.8490000000000001,1.3050000000000002,863.975,91.906,0.0,2597,62471,18,426,1108619,108,113,443,53.0,123.0,443,53.0,123.0,13.0,14.0,16.0,5322.5,5558.0,7745.0,not_mine,Does not have
89,TCP,UDP,,0.0,0.024,18.144000000000002,882.3380000000001,45.07,0.0,5189,177460,25,884,4590270,33,32,443,80.0,53.0,443,80.0,53.0,1.0,2.0,3.0,32.0,64.0,149.0,not_mine,Does not have
197,TCP,UDP,,0.0,0.0,45.056000000000004,2974.7859999999996,135.188,0.0,5612,173858,25,844,4737995,58,56,443,80.0,53.0,443,80.0,53.0,1.0,1.0,3.0,32.0,47.0,124.0,not_mine,Does not have
30,TCP,,,8.642000000000001,19.921,26.3735,582.4119999999999,36.436,3.074,388,1313,1,135,52554,2,2,58839,4444.0,,58839,4444.0,,7.5,12.5,17.75,547.0,1065.0,2975.0,mine,Etherium
2,TCP,,,295.59225,295.5925,295.59275,591.185,295.593,295.592,22,221,0,372,8198,2,2,3337,49875.0,,3337,49875.0,,11.0,11.0,11.0,2159.5,4099.0,6038.5,mine,Bitcash
271,TCP,UDP,,0.0,0.0,0.2525,2188.018,70.084,0.0,7884,473616,68,861,6791962,89,87,443,53.0,80.0,443,53.0,80.0,1.0,1.0,4.0,32.0,32.0,230.0,not_mine,Does not have
284,UDP,TCP,,0.0,0.0,10.034,2090.2320000000004,69.0,0.0,3237,60489,24,306,991657,135,136,53,443.0,123.0,53,443.0,123.0,1.0,1.0,12.0,48.0,121.0,2708.25,not_mine,Does not have
106,TCP,UDP,,6.64925,167.4685,194.91625,11975.68,257.42900000000003,0.0,5732,133299,19,859,4927897,48,46,443,123.0,80.0,443,123.0,80.0,4.25,8.0,11.0,192.0,312.0,1877.0,not_mine,Does not have
2,TCP,,,449.4395,463.66,477.8805,927.32,492.101,435.219,49,392,0,492,24140,2,2,59090,3337.0,,59090,3337.0,,24.25,24.5,24.75,6285.0,12070.0,17855.0,mine,Bitcash
12,TCP,,,24.00875,36.214,83.62424999999998,581.6709999999998,105.656,7.269,356,1268,1,134,47823,2,2,56731,4444.0,,56731,4444.0,,17.5,23.0,46.25,808.25,2455.0,4957.0,mine,Etherium
2,TCP,,,533.5930000000001,533.5930000000001,533.5930000000001,1067.1860000000001,533.5930000000001,533.5930000000001,57,393,0,459,26219,2,2,59090,3337.0,,59090,3337.0,,28.25,28.5,28.75,6897.25,13109.5,19321.75,mine,Bitcash
2,TCP,,,244.882,244.882,244.882,489.764,244.882,244.882,29,425,0,449,13024,2,2,3332,56092.0,,3332,56092.0,,14.25,14.5,14.75,3484.0,6512.0,9540.0,mine,Bitcoin
664,TCP,UDP,,0.0,0.001,45.062,12332.573,129.7,0.0,34342,856582,114,932,32008363,123,118,443,80.0,41664.0,443,80.0,1900.0,1.0,2.0,9.0,32.0,52.5,1525.5,not_mine,Does not have
2,TCP,,,265.21725,265.2175,265.21775,530.435,265.218,265.217,48,624,0,431,20719,2,2,3337,54082.0,,3337,54082.0,,24.0,24.0,24.0,5419.75,10359.5,15299.25,mine,Bitcash
2,TCP,,,277.16700000000003,277.16700000000003,277.16700000000003,554.3340000000001,277.16700000000003,277.16700000000003,37,350,0,327,12131,2,2,3333,56490.0,,3333,56490.0,,18.25,18.5,18.75,3275.75,6065.5,8855.25,mine,Litecoin
